past_negative,past_negative_raw,past_positive,past_positive_raw,present_fatalism,present_fatalism_raw,present_hedonism,present_hedonism_raw,future,future_raw,physical_activity,total_met,sex,age,population,education,physical_activity_level,physical_activity_importance
2,2.6,2,2.2222222222222223,2,2.6666666666666665,2,2.7333333333333334,2,3.4615384615384617,1,0.0,3,41,2,4,2,2
2,2.2,3,4.444444444444445,2,3.3333333333333335,2,3.2666666666666666,2,3.3076923076923075,2,792.0,3,50,5,3,2,2
2,3.0,2,3.4444444444444446,1,1.7777777777777777,2,2.533333333333333,2,3.923076923076923,1,438.0,1,22,5,3,4,4
2,2.2,2,3.2222222222222223,2,2.7777777777777777,2,3.4,2,3.3846153846153846,2,579.0,3,50,5,4,3,3
2,2.7,3,4.222222222222222,2,3.111111111111111,2,3.6,2,2.5384615384615383,2,1419.0,3,21,3,3,5,5
2,3.3,3,4.555555555555555,2,2.888888888888889,2,3.6666666666666665,2,3.6153846153846154,2,1299.0,1,22,5,3,4,5
2,2.6,2,3.111111111111111,2,2.4444444444444446,2,3.066666666666667,2,3.076923076923077,2,951.0,3,53,1,4,4,4
1,1.1,2,3.4444444444444446,1,1.1111111111111112,2,3.066666666666667,3,4.0,2,449.5,3,44,4,4,5,5
2,2.6,2,3.888888888888889,2,2.7777777777777777,2,3.2,2,3.6923076923076925,2,600.0,1,54,5,4,3,4
2,2.2,2,3.3333333333333335,2,2.5555555555555554,2,3.533333333333333,2,3.923076923076923,1,1116.0,3,29,5,3,3,4
2,2.4,3,4.111111111111111,2,2.6666666666666665,2,3.4,2,3.8461538461538463,2,918.0,1,41,1,3,5,5
2,2.3,2,2.7777777777777777,1,1.8888888888888888,2,3.066666666666667,2,3.769230769230769,2,1356.0,3,25,5,4,5,5
2,3.1,2,3.4444444444444446,2,3.0,2,3.2,2,3.923076923076923,2,2259.0,1,47,4,4,4,4
2,3.6,2,2.3333333333333335,1,1.7777777777777777,2,3.7333333333333334,3,4.076923076923077,2,258.0,1,21,5,3,3,3
2,3.2,2,3.2222222222222223,2,2.6666666666666665,2,3.3333333333333335,2,3.4615384615384617,1,0.0,3,31,5,4,4,4
2,3.6,2,3.0,2,3.111111111111111,2,3.2,2,3.6153846153846154,2,1299.0,3,30,5,4,3,4
2,2.5,3,4.0,2,3.2222222222222223,2,3.533333333333333,2,2.769230769230769,2,2518.0,1,36,5,4,4,4
2,2.4,2,3.6666666666666665,2,2.888888888888889,2,3.066666666666667,2,2.769230769230769,2,1059.0,1,42,5,4,5,5
2,3.7,2,3.7777777777777777,2,3.0,2,3.4,2,3.1538461538461537,2,279.0,1,30,5,4,2,3
1,1.8,3,4.222222222222222,1,1.2222222222222223,2,2.466666666666667,3,4.076923076923077,2,2019.0,3,46,2,4,5,5
1,1.4,3,4.222222222222222,1,1.5555555555555556,2,3.466666666666667,2,3.8461538461538463,2,956.0,1,24,4,3,4,5
2,3.7,2,3.888888888888889,2,2.4444444444444446,2,3.6666666666666665,2,3.1538461538461537,2,889.5,1,16,1,3,4,4
1,1.9,2,3.7777777777777777,1,1.6666666666666667,2,3.1333333333333333,3,4.6923076923076925,2,1299.0,3,40,5,4,5,5
2,2.8,2,3.2222222222222223,2,3.0,2,3.4,2,3.3846153846153846,1,756.0,1,29,3,4,2,3
2,2.2,3,4.0,2,2.6666666666666665,2,3.8,3,4.076923076923077,3,3558.0,1,26,5,4,5,5
2,3.6,2,3.0,2,2.2222222222222223,2,3.066666666666667,2,2.6923076923076925,2,1158.0,3,26,5,4,4,4
2,2.5,2,3.2222222222222223,2,2.6666666666666665,2,3.1333333333333333,2,2.5384615384615383,2,132.0,3,21,5,3,2,3
